system:index,area_km2,year,ysf_desf,.geo
0,1666.4636286286056,2020,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,210.23355565374743,2020,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,269.72437893090864,2020,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,235.83449447644045,2020,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,98.76042036395275,2020,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,31.775151681884758,2020,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,13.484980511413585,2020,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,20.841814580444357,2020,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,13.875541842041013,2020,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,83.81397999200442,2020,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,16.834876956909184,2020,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,25.142574274536138,2020,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.41741250817872,2020,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,32.27116592840581,2020,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,58.25878733734123,2020,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,29.783214110168444,2020,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,23.22878974029543,2020,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,20.82169804650877,2020,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,21.35252533099363,2020,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,14.912705884765623,2020,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,23.95073699682622,2020,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,27.98348742913801,2020,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,13.273453788085929,2020,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,6.790140544311537,2020,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,11.99615036804198,2020,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,5.576032013793953,2020,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,9.940431219360343,2020,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,17.866648358703614,2020,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5.872185845825189,2020,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2.7893265570068357,2020,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,4.283202336181644,2020,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,9.357601958679204,2020,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,17.67655687890625,2020,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,4.038643086669921,2020,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,4.736856341735842,2020,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
