system:index,area_km2,year,ysf_std_for_area,.geo
0,6107.27089517465,1997,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3886.439753068035,1997,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3641.6288570889506,1997,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3064.187518162982,1997,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3809.3301389296703,1997,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5801.374677210184,1997,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2779.208427251346,1997,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1310.6499967618595,1997,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1031.0468286680725,1997,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5348.590230688088,1997,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5101.573891534095,1997,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1512.4205523545268,1997,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1797.0817260822485,1997,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
