system:index,area_km2,year,ysf_std_for_area,.geo
0,17742.05514545978,2020,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11941.54510210356,2020,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4880.733936641345,2020,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,17048.69662941476,2020,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,23386.90403172676,2020,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8828.937859328262,2020,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3304.799814836674,2020,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1970.4973153731637,2020,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3546.8689509280402,2020,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2042.0103980611577,2020,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,12285.128541457047,2020,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1967.8191634382856,2020,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3471.733270260228,2020,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9733.113466773579,2020,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3349.332473512632,2020,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6517.654912133719,2020,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4020.339632282904,2020,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3555.747197722075,2020,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3206.0730392514865,2020,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3187.8762204412437,2020,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2489.941281771318,2020,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4319.76370119059,2020,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7462.801646833182,2020,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2303.6713970766536,2020,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1408.8127418658848,2020,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1809.4665397233996,2020,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1271.2743026380024,2020,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2488.8244545806797,2020,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,3557.1362153713394,2020,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1471.0765535972585,2020,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,752.5837218120204,2020,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,670.6911516924035,2020,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3181.4345760086276,2020,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3231.214677628244,2020,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,993.8376431529089,2020,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1224.786864790381,2020,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
