system:index,area_km2,year,ysf_std_for_area,.geo
0,4443.6017820284815,1996,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4191.838327848273,1996,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3390.329330874157,1996,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4174.938415964761,1996,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6294.755266472437,1996,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2949.012390063604,1996,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1384.9800440305987,1996,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1076.089065829782,1996,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5547.488293053459,1996,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5241.222107968047,1996,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1549.860863826143,1996,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1833.205564354035,1996,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
