system:index,area_km2,year,ysf_std_for_area,.geo
0,8514.914206588444,2014,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3841.8445927525813,2014,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8031.815391138512,2014,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3267.3691645556078,2014,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,19456.83975875271,2014,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2798.837042702764,2014,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4783.984293135934,2014,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13148.368658966447,2014,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4394.034436588641,2014,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7695.169225211896,2014,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4662.36146284359,2014,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4426.188152005322,2014,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3721.7481061648673,2014,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3654.046981276545,2014,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2797.613587671276,2014,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4905.170001716241,2014,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8877.175684633467,2014,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2630.022778976974,2014,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1574.6788092753497,2014,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1987.0150801113298,2014,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1391.1550230424155,2014,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2679.934947639626,2014,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4055.603698674848,2014,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1621.1676349819368,2014,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,813.6136362094194,2014,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,713.4006908478115,2014,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3467.6950843425475,2014,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,3488.032652394812,2014,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1072.5659700276112,2014,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1298.054442043552,2014,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
