system:index,area_km2,year,ysf_std_for_area,.geo
0,9199.614028791591,2002,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7043.873146950445,2002,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4570.403234146557,2002,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8237.494825680256,2002,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,15266.2319819488,2002,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3525.1002247980664,2002,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2280.7806050031763,2002,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2605.3923197644335,2002,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1932.7327015932774,2002,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3172.938031078133,2002,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4880.079602989696,2002,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2089.1118169966194,2002,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1033.8329281426795,2002,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,849.4744212875113,2002,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4357.558324477364,2002,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4336.678377655398,2002,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1300.9373854659868,2002,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1563.2505546032546,2002,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
