system:index,area_km2,year,ysf_std_for_area,.geo
0,8877.14214410798,2003,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7980.459980970918,2003,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6165.016696128467,2003,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4248.190258646418,2003,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7925.2442993127725,2003,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,14042.149035689265,2003,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3408.242922737711,2003,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2201.3272269904164,2003,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2523.422247119225,2003,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1881.828522285476,2003,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3119.420041987361,2003,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4803.669431103962,2003,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2031.4247859100171,2003,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1004.623132438029,2003,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,834.5348072729246,2003,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4287.724071715815,2003,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4253.765949773026,2003,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1278.9803961036237,2003,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1538.0828876222988,2003,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
