system:index,area_km2,year,ysf_std_for_area,.geo
0,7803.081830134156,2006,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,13389.833987802536,2006,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7342.351510007998,2006,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6264.017544059923,2006,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5537.051852012914,2006,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4791.5667262484185,2006,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3467.687202319393,2006,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6657.770754693017,2006,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,12778.940591296725,2006,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3022.87323367172,2006,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1949.3357517719612,2006,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2272.216230844699,2006,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1706.7339212431627,2006,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2961.4203831256286,2006,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4492.711258826759,2006,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1843.4279854449337,2006,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,927.0893010728846,2006,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,789.2796002336758,2006,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4016.3233278722296,2006,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3961.5026478698737,2006,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1206.9544735102033,2006,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1456.1534612363603,2006,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
