system:index,area_km2,year,ysf_std_for_area,.geo
0,26082.974761572106,2017,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,26841.691332457776,2017,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,10308.02648387013,2017,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4102.7668287331,2017,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2222.340378597834,2017,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4041.167054521249,2017,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2282.2903219401824,2017,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13871.450297112939,2017,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2089.2265937788616,2017,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3705.0394856012567,2017,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,10596.781549936371,2017,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3489.47831577813,2017,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6784.93188818094,2017,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4201.855955350643,2017,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3951.25809801501,2017,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3327.8883821416584,2017,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3320.301085283965,2017,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2568.217518820871,2017,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4501.413842606794,2017,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8118.710204034877,2017,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2356.409550228462,2017,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1449.7506180162763,2017,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1872.5539741543112,2017,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1306.1888396137467,2017,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2534.5910005333835,2017,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,3616.331986451359,2017,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1517.07975756,2017,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,767.6443145083099,2017,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,682.9829219228058,2017,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,3268.3463376725067,2017,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3308.3275301533827,2017,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1015.8285149121243,2017,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1246.8150270332392,2017,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
