system:index,area_km2,year,ysf_std_for_area,.geo
0,19587.01089216908,1998,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5168.090378535818,1998,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3059.5705900579014,1998,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3276.5615132638195,1998,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2411.8030391669645,1998,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3578.2191617308245,1998,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5441.275565001377,1998,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2504.2046119392776,1998,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1214.3846926817218,1998,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,973.3962944426638,1998,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4878.969567600331,1998,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4893.5356206951,1998,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1439.6031970767697,1998,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1715.0777289140954,1998,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
