system:index,area_km2,year,ysf_std_for_area,.geo
0,7405.704112682085,2018,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,23477.13159740574,2018,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,26004.029501452613,2018,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9933.86642545181,2018,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3935.962418163032,2018,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2146.4379551531124,2018,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3943.5534887386234,2018,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2240.55155887159,2018,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,13718.004058565577,2018,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2051.288579979302,2018,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3648.0743542644527,2018,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,10507.753481941232,2018,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3448.8959062222834,2018,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6717.066237688526,2018,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4162.470980449519,2018,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3920.2655110570645,2018,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3292.727910132316,2018,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3292.632288135588,2018,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2543.655343473468,2018,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4467.35420442069,2018,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8068.759036779005,2018,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2342.935020210992,2018,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1440.4523121249213,2018,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1863.548515519364,2018,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1299.9166860414844,2018,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2512.404974015629,2018,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3583.8953446647943,2018,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1510.5807499141852,2018,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,763.5182511494841,2018,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,680.4342572919462,2018,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3256.6957951972327,2018,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3294.057075984925,2018,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1011.0404037096699,2018,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1242.6239650851182,2018,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
