system:index,area_km2,freq_std,year,.geo
0,51332.91033139331,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11522.078358997145,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4014.541089047069,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1709.5636989134862,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,758.2901579779805,5,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,326.71186485302695,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,140.78959403997814,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,58.94794210711671,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,25.065083557189915,9,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.225968466552738,10,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.351901608215335,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.0619410665893563,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1130447914428716,13,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.6985313417358395,14,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4931812053222656,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.8269801614990242,16,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
