system:index,area_km2,freq_std,year,.geo
0,100245.37389222896,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,40810.4674794991,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,19483.194279019655,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,10150.025302203932,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5505.2845415221145,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3242.873404461108,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1939.0624600901097,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1194.1290681745265,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,751.2903275640368,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,477.1158701785897,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,300.60247915502885,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,190.004660257996,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,118.24133871099856,13,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,73.71331593859853,14,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,46.764354831237775,15,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,30.662571836730987,16,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,20.573818415466285,17,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,13.69115477752685,18,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.450831741027836,19,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.316718705566404,20,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.261343191101074,21,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.963409567626951,22,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.277624621643066,23,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.6818374265747067,24,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.158859782531739,25,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.8125570326538089,26,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7211308737182618,27,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5958297254638669,28,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3589554204101564,29,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.24546314660644533,30,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.25273942504882807,31,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.19661393164062496,32,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.19634914233398437,33,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.1540838006591797,34,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.14576297149658202,35,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.21206309197998047,36,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
