system:index,area_km2,freq_std,year,.geo
0,75416.81621584078,1,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,28907.929536148633,2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11471.641725627236,3,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5551.604548129954,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2889.8126421804373,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1594.570410570494,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,882.6462455136733,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,500.0054945224619,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,276.52808595404065,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,154.13811253204327,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,87.27934354766862,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,49.4881792491455,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,28.16698847229,13,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,16.999775707092276,14,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,10.554289389160152,15,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.933069945800781,16,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.305003268615726,17,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.0491532243652353,18,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.0491564060668948,19,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.382735967895509,20,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.03663293359375,21,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.7171715676879882,22,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.487575645263672,23,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.41050575781250015,24,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.45035736535644505,25,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.4228418587646485,26,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7532585310058598,27,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
