system:index,area_km2,freq_desf,year,.geo
0,5347.297109648684,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1059.061999390137,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,373.9247398952037,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,117.82840378686508,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,36.10067552343742,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,11.850785878112793,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.2547178998413075,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.6681147459106436,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.7743169483032228,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.39271116271972656,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.1558091104125976,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.04628008020019532,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.03640561071777344,13,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0071044196166992184,14,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.005280961853027343,15,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.8556640625E-4,20,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
