system:index,area_km2,freq_desf,year,.geo
0,4388.554843205494,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,869.791409391787,2,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,244.23530264984154,3,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,83.47404484838869,4,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,31.952408476562496,5,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,12.513938513610833,6,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.747880316711431,7,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.543574986572265,8,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.4834811669311523,9,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.14311164611816407,10,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.07872806915283204,11,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.049493272583007814,12,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.012384998413085938,13,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.015028737243652345,14,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.009736789611816406,15,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
