system:index,area_km2,year,ysf_desf,.geo
0,645.762756799865,2014,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,275.19201251861455,2014,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,115.90762726617426,2014,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,274.2134369074094,2014,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,71.35377491448973,2014,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,83.58202381512453,2014,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,170.74962083605936,2014,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,77.19713035455334,2014,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,121.27641583190919,2014,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,63.68148194836428,2014,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,75.79945793591304,2014,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.33043745758056,2014,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.75086724609378,2014,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,33.66649909130855,2014,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,47.28754561157228,2014,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,51.621615394287105,2014,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,24.594472555358898,2014,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,12.314919394226091,2014,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,15.577055447570796,2014,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.430576247497552,2014,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,18.66496607995603,2014,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,34.76587451300043,2014,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11.887851437072756,2014,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,5.816668634887699,2014,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,6.7592031666870085,2014,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,20.03432847662355,2014,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,26.52066228637694,2014,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,6.684891523498532,2014,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,7.21954640386963,2014,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
