system:index,area_km2,year,ysf_desf,.geo
0,2270.089730022213,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,223.27516862524388,2016,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,51.766720268493664,2016,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,71.70846070867903,2016,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,48.80518888085943,2016,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,209.35840764123537,2016,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,62.14369774090593,2016,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,60.169759019226085,2016,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,130.5947889224245,2016,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,73.46857960186767,2016,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,112.03774011456306,2016,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,59.80746469732662,2016,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,64.51362446356198,2016,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,46.2172691210327,2016,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,44.252594785583575,2016,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,29.492745726074237,2016,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,40.56957793286127,2016,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,55.28837726678473,2016,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,29.31755320416259,2016,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,13.254258962341304,2016,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,15.888374139892582,2016,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7.387892245666506,2016,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,19.943705600219744,2016,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,43.26769488183595,2016,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,14.12801631579591,2016,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,6.086863596252448,2016,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,6.469919911437986,2016,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,24.52737217761231,2016,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,32.56470923919678,2016,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,8.028024985412593,2016,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.831797961364752,2016,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
