system:index,area_km2,year,ysf_desf,.geo
0,1100.1406645422944,2019,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,523.8958828311158,2019,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,415.2269904887697,2019,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,145.9700345433351,2019,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,54.72422136755365,2019,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,28.538429583313018,2019,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,36.083420876464814,2019,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,25.90603832617187,2019,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,110.67328423913564,2019,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,26.42710536535643,2019,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,40.15837551177978,2019,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,74.71548082702638,2019,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,37.88251020922857,2019,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,74.59526332391366,2019,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,43.53995152038561,2019,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,52.450279878295746,2019,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,26.989897318908692,2019,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,31.1041980964966,2019,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,20.77537232611082,2019,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,38.7862613370361,2019,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,47.17956831909175,2019,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,17.805185220336906,2019,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,10.279791800476067,2019,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,13.638199487792992,2019,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5.8060514109497126,2019,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,14.88432735601806,2019,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,24.020792758605932,2019,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,9.812945046569823,2019,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,4.3586317050781265,2019,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,5.24899217852783,2019,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,16.21257760894776,2019,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,24.806102542541467,2019,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,6.525082895324708,2019,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,5.950139995910643,2019,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
