system:index,area_km2,year,ysf_desf,.geo
0,2911.428446992789,1992,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,484.0424165029907,1992,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,230.31312925946057,1992,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,500.33250509576555,1992,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,509.13261412573337,1992,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,140.77833317376718,1992,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,158.727363465149,1992,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
