system:index,area_km2,year,ysf_desf,.geo
0,4156.500452522392,2006,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,653.9896862302859,2006,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,220.4737196903688,2006,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,173.41025278790278,2006,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,139.10541593377684,2006,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,96.57557481304931,2006,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,165.43282676086454,2006,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,155.07790578454552,2006,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,62.223460560669,2006,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,32.06314341882324,2006,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,34.36598736688231,2006,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,15.397734977722155,2006,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,45.31304896759032,2006,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,91.36420818731688,2006,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,28.469475635620128,2006,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,11.29110582904054,2006,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,13.080906759887695,2006,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,48.595185660339375,2006,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,50.70951211303722,2006,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,14.429110965454113,2006,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,17.833428073303207,2006,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
