system:index,area_km2,year,ysf_desf,.geo
0,3221.0076278473593,1997,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,567.4344687766725,1997,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,289.611743648254,1997,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,239.93001157525683,1997,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,371.3357199122317,1997,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,170.16830563323975,1997,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,69.48222321997075,1997,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,58.027661864501965,1997,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,298.5646427298589,1997,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,252.4162131010746,1997,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,51.16210946008306,1997,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,51.823995002319364,1997,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
