system:index,area_km2,year,ysf_desf,.geo
0,1210.5616490415646,2015,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,148.19273798803715,2015,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,128.6526378945313,2015,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,76.43425539105236,2015,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,281.9582081306763,2015,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,65.55596550042719,2015,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,76.66035251531976,2015,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,174.7560283983152,2015,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,107.6927061821897,2015,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,140.24090092480463,2015,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,62.074599989318855,2015,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,70.54963876928703,2015,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,49.734928897827075,2015,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.81933409136964,2015,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,30.79340434527591,2015,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,52.005237948242154,2015,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,58.68321404913332,2015,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,31.036197571899393,2015,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,14.170586917358406,2015,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,16.569753738220196,2015,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.738457165283207,2015,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,18.519921250549324,2015,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,47.94213049841308,2015,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,14.202473708740273,2015,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5.839275792358399,2015,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,8.279712429931642,2015,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,22.28248897003176,2015,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,32.378724096252384,2015,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,7.063771369812002,2015,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,7.781101439758302,2015,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
