system:index,area_km2,year,ysf_desf,.geo
0,4559.668037880617,2005,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,660.2009418222068,2005,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,359.0966180927137,2005,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,173.0597312244262,2005,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,123.13149424584964,2005,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,237.0475038876344,2005,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,245.36519504217546,2005,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,90.48132432965077,2005,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,40.16095587402349,2005,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,45.99460998278812,2005,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,25.348361906677262,2005,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,41.77537028076168,2005,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,97.60146670666497,2005,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,33.793291408630324,2005,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,15.633557671997085,2005,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,18.24691085015872,2005,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,67.49270296453858,2005,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,80.36838173040793,2005,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,19.560842560607913,2005,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,19.378042165893536,2005,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
