system:index,area_km2,year,ysf_desf,.geo
0,2147.2836581432502,2018,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,535.4478872453002,2018,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,193.80971944964588,2018,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,61.54236794726552,2018,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,27.51287714593512,2018,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.90989702270508,2018,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,22.317825275878924,2018,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,125.46854030090327,2018,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,27.456838211120623,2018,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,35.01469879748532,2018,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,80.8860303810427,2018,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,44.275271741516136,2018,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,73.54200641192632,2018,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,53.06203028894059,2018,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,53.93762909405505,2018,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,29.40254379638671,2018,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,32.073362373352026,2018,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,19.738220161987265,2018,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,37.47462131091307,2018,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,44.0272252853394,2018,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,16.525713924133317,2018,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.132159596252444,2018,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,12.69998524176026,2018,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,6.69259240466308,2018,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,15.040423000854478,2018,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,24.372132256225594,2018,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,9.044706670593268,2018,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4.331807255249022,2018,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,4.795001333312985,2018,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,14.22014141790772,2018,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,25.654350171081525,2018,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,4.263561174438475,2018,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,4.844166292541504,2018,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
