system:index,area_km2,year,ysf_desf,.geo
0,1904.7344660329582,2011,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,156.5062466109616,2011,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,116.2805831145019,2011,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,179.23942019671674,2011,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,74.0257295754395,2011,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,126.55455215588401,2011,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,64.54338053991712,2011,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,59.566356665283244,2011,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,43.179405627868704,2011,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,43.41762245849617,2011,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,28.40428370104983,2011,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,40.45658790747065,2011,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,29.596755345092774,2011,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,21.679169572326654,2011,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,12.065427938415523,2011,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,13.328848311523432,2011,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.313268384216309,2011,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,15.286020651855468,2011,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,27.859988735412603,2011,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,10.872602594787597,2011,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.58503317529297,2011,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.017951565063472,2011,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,17.303761984741207,2011,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,23.956720427185047,2011,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5.047832149169925,2011,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,5.421712994323734,2011,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
