system:index,area_km2,year,ysf_desf,.geo
0,3489.7450818396883,2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,903.3746226289073,2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,203.50826880950908,2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,470.7038237424925,2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,615.5735089677726,2021,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,200.14286336468484,2021,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,62.77677527508547,2021,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,31.59710807324214,2021,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,47.87086080987551,2021,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,33.3221085769654,2021,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,209.6643407934576,2021,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,38.801607375183124,2021,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,52.68617204956046,2021,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,107.99881123065197,2021,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,66.09470915167239,2021,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,141.48127609490953,2021,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,67.10052778027347,2021,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,66.13099490356447,2021,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,48.73372955609126,2021,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,62.23828184967047,2021,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,37.1895394936524,2021,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,44.37013392498773,2021,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,61.07815835913082,2021,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,33.27564293914801,2021,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,17.376272905151364,2021,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,23.610184891235363,2021,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,13.953477056030271,2021,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,18.608307786437987,2021,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,49.35114010504149,2021,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,15.962262809326164,2021,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.613086926269533,2021,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,11.530154349121087,2021,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,25.42517318078614,2021,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,40.67280993640136,2021,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,8.223024428161626,2021,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,9.342233161315916,2021,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
