system:index,area_km2,freq_std,year,.geo
0,30257.412399490866,1,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6494.489418317094,2,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1955.337837184758,3,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,689.9307169246599,4,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,232.5523480875244,5,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,79.77661308398427,6,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,25.549259174194315,7,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.452463538146974,8,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7232252788085956,9,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.8503004838867191,10,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.001581986694337,11,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
