system:index,area_km2,freq_desf,year,.geo
0,4004.9245047385252,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1701.2207762553069,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,806.6412966947016,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,395.80590395379573,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,189.48288617663562,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,108.2915235079344,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,55.96775517126457,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,28.717842042785612,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,15.915309347351068,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9.786461156921371,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7.099428558471665,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.427151369201658,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.69733187133789,13,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0159873631591823,14,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.374018098388673,15,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.8714595588989258,16,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5628463358764649,17,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4625759147338867,18,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.26311506170654286,19,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.2064989576416016,20,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1453037352294922,21,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.10355641632080076,22,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.049125599792480476,23,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.03116745892333984,24,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.023184332885742186,25,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.016966059997558593,26,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.006233561340332031,27,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0026703579101562502,28,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0017725675659179688,29,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0035618179321289063,30,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0017753082275390624,31,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0026637257690429687,32,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0044220488891601566,33,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
