system:index,area_km2,freq_desf,year,.geo
0,3890.3484983524772,1,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,802.313696996764,2,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,181.2333585179444,3,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,45.50898088122561,4,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,12.280873150390628,5,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.74405616845703,6,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.3253445484008789,7,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
