system:index,area_km2,freq_desf,year,.geo
0,5200.239227125115,1,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1027.7931014938356,2,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,322.8915488495481,3,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,112.15222360986368,4,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,40.07309327001958,5,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,15.114950148376431,6,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.93982605279541,7,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1606369050903322,8,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.19966199188232428,9,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.010640503845214842,10,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
