system:index,area_km2,freq_desf,year,.geo
0,2565.215336552121,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,743.0628477390153,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,313.6129108024285,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,137.53371072778313,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,65.7567767612915,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,31.48931438513184,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,13.402634820739753,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.940858373291014,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.828775899658204,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4845136981811515,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.7995031532592781,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4835193895263671,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2644723333740235,13,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.13075470245361326,14,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.08902098974609376,15,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.059650503784179694,16,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.046302657043457034,17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.025849296142578124,18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.009778330810546876,19,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.008911642089843751,20,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0026759578247070315,21,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0017874510498046875,22,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.744019165039062E-4,23,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,8.855430908203125E-4,26,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0017589307861328126,27,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.001769602294921875,28,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,8.841152954101563E-4,31,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
