system:index,area_km2,freq_desf,year,.geo
0,4357.665953571973,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1235.2234744995117,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,413.4888516075438,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,148.90985208929447,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.33450215423581,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,14.701367419921864,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.052416239318852,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.4181313402099605,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.1800404503173827,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3985496666870117,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.16559581848144533,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.07738899829101561,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.036426622985839846,13,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.02576334844970703,14,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.007939944458007811,15,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.010559441223144532,16,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.864559936523438E-4,19,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.004443369995117187,20,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
