system:index,area_km2,freq_std,year,.geo
0,64658.63401745939,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,19822.013598322697,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7343.602283732987,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3374.843961109412,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1670.4749330292452,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,850.41362260779,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,439.74820817181364,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,228.70405814044204,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,116.97240178479026,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,60.581911431457556,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,31.241168580322263,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,16.83109292901612,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9.2485656798706,13,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.373755681396483,14,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.311552050476077,15,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.9668368732299808,16,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.2179283502197267,17,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.81068116595459,18,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5644592602539067,19,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.4712896749877929,20,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.4431733909301758,21,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.8041275761108405,22,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
