system:index,area_km2,freq_std,year,.geo
0,27230.745894567604,1,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5460.878687621745,2,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1425.8970426625422,3,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,420.9298792459104,4,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,116.97086962908932,5,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,32.04477601708984,6,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.304117792724607,7,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.043800006225587,8,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.242110289733888,9,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
