system:index,area_km2,freq_std,year,.geo
0,63194.28377492949,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,18702.202506783527,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6946.215839253347,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3152.7313170290786,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1534.8162094121255,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,777.8051672291865,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,398.2633984208984,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,202.1980492676998,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,101.1388938546754,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,51.30503870758054,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,26.113342386901863,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,13.539426886596692,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.8476813410644555,13,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.200386063781734,14,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.626135876403809,15,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4840608000488291,16,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0209198913574222,17,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6295944216308597,18,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5011936892700194,19,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.4519611193847657,20,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.8058724655761726,21,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
