system:index,area_km2,freq_desf,year,.geo
0,1960.8677780796454,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,653.5305311502698,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,272.1801530648801,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,125.63558818945285,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,56.62881646087645,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,28.740684063476575,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,13.046135103088373,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.330308981750489,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.1940614695434575,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.5210137228393557,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.705995510498047,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4364438069458005,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.23983892779541013,13,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.13882699359130857,14,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.08979307788085938,15,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.04997088128662109,16,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.047288354675292965,17,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.035633939941406255,18,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.015178563354492188,19,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.005342310180664063,20,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0017788544311523437,21,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.93255126953125E-4,23,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.8420361328125E-4,24,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,8.937118530273438E-4,25,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,8.84416015625E-4,30,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
