system:index,area_km2,freq_desf,year,.geo
0,3632.1273160110572,1,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,973.6699307951667,2,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,365.2035461827998,3,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,161.3808368208625,4,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,85.54051545483414,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,31.87825229620364,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,10.316533575073244,7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.5931077556762703,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.3495967805786129,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5052567412719727,10,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.29064135565185556,11,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.12040197088623046,12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.06948928521728515,13,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.02230675872802734,14,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.01785635473632812,15,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.007117220764160157,16,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0035512964477539062,17,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0017775528564453124,18,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.838460083007813E-4,21,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.838466796875E-4,22,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
