system:index,area_km2,freq_desf,year,.geo
0,3634.378789333436,1,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,867.0433064041129,2,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,253.02431983721894,3,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,97.01214570764155,4,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,36.66586329400636,5,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,13.695796354248046,6,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.444035343688966,7,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.0419194960327145,8,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6086516282348633,9,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.19031406573486329,10,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.05304367602539063,11,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.012400610473632813,12,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.006204301879882812,13,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0070986922607421885,14,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
