system:index,area_km2,freq_desf,year,.geo
0,1314.389853684019,1,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,623.2784385079952,2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,279.2731236500249,3,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,133.09725942584254,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,58.6919523103029,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,24.631439849731432,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,10.00259902435305,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.248120452941895,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.872214069580078,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9542914554443357,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5447586339721682,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2628054044799804,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.21112356469726556,13,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.12926281207275392,14,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.08747263287353516,15,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.04455889599609375,16,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.04013780841064452,17,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.02497884625244141,18,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.015087906921386719,19,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.009792648071289062,20,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0026618916625976564,21,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.626146850585938E-4,22,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0035401180419921876,23,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.00266013427734375,24,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0026594897460937503,26,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.004423621337890625,27,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
