system:index,area_km2,year,ysf_std_for_area,.geo
0,4562.458843632217,1995,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3912.4038435784846,1995,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4388.638997970705,1995,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6514.927517961772,1995,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3098.4179165365085,1995,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1457.9927889715154,1995,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1125.2489199564288,1995,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5809.089844143674,1995,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5381.468011105151,1995,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1606.5767376433505,1995,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1889.8660063387588,1995,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
