system:index,area_km2,year,ysf_std_for_area,.geo
0,20065.30183977712,2015,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6507.462485037606,2015,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2972.4476730175284,2015,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5763.5530147508825,2015,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2806.1354710000755,2015,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,17912.206321018773,2015,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2447.323146670711,2015,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4200.3143426349025,2015,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,12270.32965513593,2015,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4010.5553952846767,2015,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7285.790925283976,2015,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4487.642734809613,2015,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4279.122425252104,2015,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3582.7638211873964,2015,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3523.1434604385404,2015,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2712.935706075326,2015,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4810.119517063149,2015,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8692.329434379772,2015,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2547.5812180746257,2015,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1528.7204003329161,2015,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1943.9902096902972,2015,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1362.9847098740786,2015,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2629.2755157467022,2015,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,3904.8730740021315,2015,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1580.106638060366,2015,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,797.291661890106,2015,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,702.0957656900356,2015,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,3405.9049596480486,2015,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,3420.8763186455276,2015,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1053.2043042901862,2015,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1280.6122264484602,2015,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
