system:index,area_km2,year,ysf_std_for_area,.geo
0,8140.596394566036,2008,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,25695.06224205969,2008,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5570.711039579823,2008,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9513.720265559856,2008,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5730.854576587036,2008,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5087.549211357336,2008,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4398.914393691349,2008,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4205.532055524581,2008,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3136.1066066870617,2008,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5548.452503949367,2008,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9641.683281507305,2008,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2833.941138984587,2008,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1764.1524176154644,2008,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2142.3925529164057,2008,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1540.018559510859,2008,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2831.3554765715107,2008,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4267.022570054884,2008,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1729.7354637131189,2008,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,876.4016709311004,2008,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,753.188613755832,2008,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3727.851806675498,2008,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3744.6571555714186,2008,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1145.988028387413,2008,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1384.8658243677748,2008,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
