system:index,area_km2,year,ysf_std_for_area,.geo
0,4256.882043049724,1994,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4771.927270407162,1994,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6736.962962210299,1994,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3347.669514393306,1994,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1565.8491928998014,1994,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1193.55309477082,1994,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6009.359335105635,1994,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5569.06240541064,1994,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1656.4160643444523,1994,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1956.1273446022833,1994,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
