system:index,area_km2,year,ysf_std_for_area,.geo
0,10821.602857463758,1999,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,17900.737115518743,1999,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4458.880744263406,1999,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2805.9497315186522,1999,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3017.8988915328678,1999,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2248.3367347803496,1999,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3429.588036470329,1999,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5257.502556881387,1999,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2346.6120641419197,1999,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1160.4098136098203,1999,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,932.5279405391605,1999,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4702.315313117741,1999,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4723.248250700217,1999,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1402.5528924449372,1999,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1671.4758343994408,1999,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
