system:index,area_km2,year,ysf_std_for_area,.geo
0,10147.719768444493,2004,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7574.630057966096,2004,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6794.027040615979,2004,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5554.374025357248,2004,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3878.905217589537,2004,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7595.924976804451,2004,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,13594.98491313911,2004,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3256.6952242842685,2004,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2091.5064492613665,2004,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2421.1518353700126,2004,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1805.1190013822793,2004,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3057.6124673347954,2004,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4701.709970954557,2004,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1960.7074186523323,2004,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,973.7889462416431,2004,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,815.5136046260634,2004,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4171.558369949835,2004,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4117.802924851388,2004,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1248.732556613268,2004,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1498.4865769374503,2004,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
