system:index,area_km2,year,ysf_std_for_area,.geo
0,6157.606912165079,2000,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9766.682192481416,2000,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,17216.94781703874,2000,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4167.572852908569,2000,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2602.023734347873,2000,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2857.0372975254004,2000,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2139.306146390146,2000,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3339.680583893113,2000,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5142.191686508951,2000,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2263.298611689678,2000,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1118.8991309758696,2000,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,905.0944669239882,2000,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4608.356530344553,2000,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4615.130014394981,2000,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1371.551048755419,2000,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1637.3323250372252,2000,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
