system:index,area_km2,year,ysf_std_for_area,.geo
0,7998.5292099476555,2021,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,16158.397079095032,2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,10685.912476421474,2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4688.090558109982,2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,16571.246357804128,2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,23188.445341420007,2021,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8678.559742667276,2021,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3172.167907634097,2021,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1935.335525241198,2021,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3450.996402794493,2021,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2005.8170973445485,2021,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12148.011661444923,2021,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1957.0775940453732,2021,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3446.936406875036,2021,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9649.150735429472,2021,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3331.066221680413,2021,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6468.819069908774,2021,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3998.6139847918157,2021,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3541.7104387023587,2021,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3191.8244732108387,2021,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3173.0532657395224,2021,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2479.7407049799367,2021,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4298.998024213357,2021,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,7442.598511174129,2021,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2291.2177858296473,2021,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1401.0181082364911,2021,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1802.493870060006,2021,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1265.1848981389182,2021,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2479.921779084932,2021,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,3551.3099892615983,2021,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1462.9061495754095,2021,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,749.71519523005,2021,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,667.8503130324295,2021,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3168.916218087849,2021,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3215.793757905283,2021,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,989.6838312322549,2021,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1218.961414359595,2021,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
