system:index,area_km2,year,ysf_desf,.geo
0,3370.5278776135788,2000,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,761.0197195786751,2000,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,259.19027194671634,2000,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,116.68612506982412,2000,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,142.80341952301018,2000,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,70.05409375842298,2000,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,92.40562480499266,2000,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,186.01907232324209,2000,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,94.02883165216055,2000,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,62.40472494775395,2000,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,40.56157421240231,2000,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,158.63678325695798,2000,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,188.13102208538857,2000,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,54.31140473638916,2000,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,40.82660764691159,2000,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
