system:index,area_km2,year,ysf_desf,.geo
0,3806.0235331004665,2002,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,604.2685201781613,2002,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,567.7803526098044,2002,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,503.29371939868406,2002,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,137.97799373150613,2002,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,69.17139630426021,2002,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,74.14548906213396,2002,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,46.33617276354979,2002,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,55.82688970916742,2002,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,130.61491091613772,2002,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,59.35279824591061,2002,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,26.646343036743147,2002,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,27.69777156030274,2002,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,103.71166716870117,2002,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,136.82984893908716,2002,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,28.60244014080813,2002,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,31.497333181945805,2002,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
