system:index,area_km2,year,ysf_desf,.geo
0,2570.9673633209245,1998,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,564.8620807138667,1998,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,261.7566573577876,1998,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,185.54769937451306,1998,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,170.96439172753935,1998,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,289.59564741467335,1998,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,151.8811505866086,1998,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,52.305693260253896,1998,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,48.331437182495115,1998,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,197.9094120904542,1998,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,241.38019873895246,1998,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,47.57129379547121,1998,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,55.06763260113524,1998,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
